season,episode,title,My Title
1,1,The Pilot,The One About Everybody With Paul
1,2,The One with the Sonogram at the End,The One About Ew With Helen
1,3,The One with the Thumb,The One About Smoke With Alan
1,4,The One with George Stephanopoulos,The One About Cmon With Jack
1,5,The One with the East German Laundry Detergent,The One About Laundry With Angela
1,6,The One with the Butt,The One About Cmon With Ethan
1,7,The One with the Blackout,The One About Paolo With Jill
1,8,The One Where Nana Dies Twice,The One About Na With Nana
1,9,The One Where Underdog Gets Away,The One About Thanksgiving With Na
1,10,The One with the Monkey,The One About Minsk With Max
1,11,The One with Mrs. Bing,The One About Paolo With Na
1,12,The One with the Dozen Lasagnas,The One About Paolo With Susan
1,13,The One with the Boobies,The One About Dad With Ma
1,14,The One with the Candy Hearts,The One About Egg With Janice
1,15,The One with the Stoned Guy,The One About Alright With Wendy
1,16,The One with Two Parts: Part 1,The One About Err With Nina
1,17,The One with Two Parts: Part 2,The One About Ow With Ursula
1,18,The One with All the Poker,The One About Poker With Marcel
1,19,The One Where the Monkey Gets Away,The One About Monkey With Marcel
1,20,The One with the Evil Orthodontist,The One About Na With Mindy
1,21,The One with the Fake Monica,The One About Class With Marcel
1,22,The One with the Ick Factor,The One About Bye With Ethan
1,23,The One with the Birth,The One About Breathe With Ben
1,24,The One Where Rachel Finds Out,The One About Alright With China
2,1,The One with Ross's New Girlfriend,The One About Na With Julie
2,2,The One with the Breast Milk,The One About Milk With Julie
2,3,The One Where Heckles Dies,The One About Heckle With Janice
2,4,The One with Phoebe's Husband,The One About Um With Julie
2,5,The One with Five Steaks and an Eggplant,The One About Birthday With Bob
2,6,The One with the Baby on the Bus,The One About Smelly With Stephanie
2,7,The One Where Ross Finds Out,The One About Cat With Julie
2,8,The One with the List,The One About Um With Julie
2,9,The One with Phoebe's Dad,The One About Christmas With Na
2,10,The One with Russ,The One About Alright With Russ
2,11,The One with the Lesbian Wedding,The One About Wed With Susan
2,12,The One After the Superbowl,The One About Monkey With Erica
2,13,The One After the Superbowl,The One About Damme With Susie
2,14,The One with the Prom Video,The One About Lobster With Jack
2,15,The One Where Ross and Rachel...You Know,The One About Burke With Na
2,16,The One Where Joey Moves Out,The One About Tattoo With Richard
2,17,The One Where Eddie Moves In,The One About Smelly With Eddie
2,18,The One Where Dr. Ramoray Dies,The One About Fish With Eddie
2,19,The One Where Eddie Won't Go,The One About Woah With Eddie
2,20,The One Where Old Yeller Dies,The One About Dad With Bert
2,21,The One with the Bullies,The One About Alright With Frank
2,22,The One with the Two Parties,The One About Birthday With Na
2,23,The One with the Chicken Pox,The One About Alright With Ryan
2,24,The One with Barry and Mindy's Wedding,The One About Wed With Barry
3,1,The One with the Princess Leia Fantasy,The One About Um With Leia
3,2,The One Where No One's Ready,The One About Breezy With Michelle
