Date,Unlocks,Minutes
"January 17, 2018 at 12:00AM",40,78.083
"January 18, 2018 at 12:00AM",75,169.883
"January 19, 2018 at 12:00AM",46,154.683
"January 20, 2018 at 12:00AM",61,227.283
"January 21, 2018 at 12:00AM",74,266.267
"January 22, 2018 at 12:00AM",52,153.433
"January 23, 2018 at 12:00AM",43,126.25
"January 24, 2018 at 12:00AM",62,108.933
"January 25, 2018 at 12:00AM",55,169.367
"January 26, 2018 at 12:00AM",77,164.583
"January 27, 2018 at 12:00AM",75,174.8
"January 28, 2018 at 12:00AM",37,118.483
"January 29, 2018 at 12:00AM",42,123.017
"January 30, 2018 at 12:00AM",37,103.917
"January 31, 2018 at 12:00AM",78,190.417
"February 1, 2018 at 12:00AM",52,134.55
"February 2, 2018 at 12:00AM",49,103.383
"February 3, 2018 at 12:00AM",34,133.2
"February 4, 2018 at 12:00AM",48,187.083
"February 5, 2018 at 12:00AM",42,110.217
"February 6, 2018 at 12:00AM",51,114.217
"February 7, 2018 at 12:00AM",46,106.667
"February 8, 2018 at 12:00AM",45,133.767
"February 9, 2018 at 12:00AM",36,100.8
"February 10, 2018 at 12:00AM",54,171.567
"February 11, 2018 at 12:00AM",47,144.2
"February 12, 2018 at 12:00AM",47,120.65
"February 13, 2018 at 12:00AM",71,127.35
"February 14, 2018 at 12:00AM",36,78.833
"February 15, 2018 at 12:00AM",49,146.6
"February 16, 2018 at 12:00AM",56,110.517
"February 17, 2018 at 12:00AM",43,152.383
"February 18, 2018 at 12:00AM",40,150.117
"February 21, 2018 at 12:00AM",36,100.483
"February 22, 2018 at 12:00AM",35,128.183
"February 23, 2018 at 12:00AM",41,99.5
"February 24, 2018 at 12:00AM",49,169.383
"February 25, 2018 at 12:00AM",63,194.483
"February 26, 2018 at 12:00AM",62,149.367
"February 27, 2018 at 12:00AM",38,84.017
"February 28, 2018 at 12:00AM",36,103.683
"March 1, 2018 at 12:00AM",51,121.05
"March 2, 2018 at 12:00AM",42,83.717
"March 3, 2018 at 12:00AM",45,138.683
"March 4, 2018 at 12:00AM",53,88.633
"March 5, 2018 at 12:00AM",47,155.2
"March 6, 2018 at 12:00AM",41,76.133
"March 7, 2018 at 12:00AM",51,165.2
"March 8, 2018 at 12:00AM",36,94.933
"March 9, 2018 at 12:00AM",29,94.183
"March 10, 2018 at 12:00AM",32,116.3
"March 11, 2018 at 12:00AM",28,36.25
"March 13, 2018 at 12:00AM",62,62.517
"March 14, 2018 at 12:00AM",30,42.167
"March 15, 2018 at 12:00AM",25,34.417
"March 16, 2018 at 12:00AM",35,47.5
"March 17, 2018 at 12:00AM",75,98.3
"March 18, 2018 at 12:00AM",28,44.817
"March 19, 2018 at 12:00AM",35,79.383
"March 20, 2018 at 12:00AM",38,94.617
