Year,Stakes,Missions,Districts,Wards and Branches,Membership,New Children of Record,Converts Baptized,Full-Time Missionaries,Church Service Missionaries,Temples Dedicated,Temples in Operation
1995,"2,150",307,699,"22,697","9,340,898","71,139","304,330","48,631",,,
1996,"2,296",309,671,"23,528","9,694,549","81,017","321,385","52,938",,,
1997,"2,424",318,649,"24,670","10,070,524","75,214","317,798","56,531",,,
1998,"2,505",331,631,"25,551","10,354,241","76,829","299,134","57,853",,2,53
1999,"2,542",333,636,"25,793","10,752,986","84,118","306,171","58,593",,15,68
2000,"2,581",334,621,"25,915","11,068,861","81,450","273,973","60,784",,34,102
2001,"2,607",333,618,"26,084","11,394,522","69,522","292,612","60,850",,5,107
2002,"2,602",335,641,"26,143","11,721,548","81,132","283,138","61,638",,7,114
2003,"2,624",337,644,"26,237","11,985,254","99,457","242,923","56,237",,2,116
2004,"2,665",338,646,"26,670","12,275,822","98,870","241,239","51,067",,3,119
2005,"2,701",341,643,"27,087","12,560,869","93,150","243,108","52,060",,3,122
2006,"2,745",344,630,"27,475","12,868,606","94,006","272,845","53,164",,2,124
2007,"2,790",348,618,"27,827","13,193,999","93,698","279,218","52,686",,0,124
2008,"2,818",348,622,"28,109","13,508,509","123,502","265,593","52,494",,4,128
2009,"2,865",344,616,"28,424","13,824,854","119,722","280,106","51,736",,2,130
2010,"2,896",340,614,"28,660","14,131,467","120,528","272,814","52,225","20,813",4,134
2011,"2,946",340,608,"28,784","14,441,346","119,917","281,312","55,410","22,299",2,136
2012,"3,005",347,591,"29,014","14,782,473","122,273","272,330","58,990","22,961",4,140
2013,"3,050",405,571,"29,253","15,082,028","115,486","282,945","83,035","24,032",1,141
2014,"3,114",406,561,"29,621","15,372,337","116,409","296,803","85,137","30,404",3,144
2015,"3,174",418,558,"30,016","15,634,199","114,550","257,402","74,079","31,779",5,149
2016,"3,266",421,556,"30,304","15,882,417","109,246","240,131","70,946","33,695",6,155
2017,3341,421,553,30506,16118169,106771,233729,67049,36172,4,159
2018,3383,407,547,30536,16313735,102102,234322,65137,37963,2,161
2019,3437,399,542,30940,16565036,94266,248835,67021,31333,6,167
